"indicator","area_name","area_code","area_type","year","period","numerator","measure","lower_confidence_interval","upper_confidence_interval","definition","data_source"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Lanarkshire","S08000032","Health board",2019,"2019/20 financial year",144296,21.8,21.7,21.9,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Lothian","S08000024","Health board",2019,"2019/20 financial year",155763,17.16,17.09,17.24,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Orkney","S08000025","Health board",2019,"2019/20 financial year",3993,17.93,17.43,18.44,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Shetland","S08000026","Health board",2019,"2019/20 financial year",3807,16.61,16.13,17.1,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Tayside","S08000030","Health board",2019,"2019/20 financial year",84320,20.2,20.08,20.32,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Western Isles","S08000028","Health board",2019,"2019/20 financial year",4652,17.41,16.96,17.87,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Scotland","S00000001","Scotland",2020,"2020/21 financial year",1054374,19.29,19.26,19.32,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Ayrshire & Arran","S08000015","Health board",2020,"2020/21 financial year",79508,21.61,21.47,21.74,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Borders","S08000016","Health board",2020,"2020/21 financial year",22703,19.7,19.47,19.93,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Dumfries & Galloway","S08000017","Health board",2020,"2020/21 financial year",29905,20.17,19.96,20.37,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Fife","S08000029","Health board",2020,"2020/21 financial year",76121,20.35,20.22,20.48,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Forth Valley","S08000019","Health board",2020,"2020/21 financial year",58977,19.28,19.14,19.42,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Grampian","S08000020","Health board",2020,"2020/21 financial year",97236,16.61,16.51,16.7,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Greater Glasgow & Clyde","S08000031","Health board",2020,"2020/21 financial year",242170,20.43,20.36,20.5,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Highland","S08000022","Health board",2020,"2020/21 financial year",57125,17.8,17.67,17.94,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Lanarkshire","S08000032","Health board",2020,"2020/21 financial year",141387,21.36,21.26,21.46,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Lothian","S08000024","Health board",2020,"2020/21 financial year",154171,16.9,16.82,16.97,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Orkney","S08000025","Health board",2020,"2020/21 financial year",4041,18.04,17.54,18.55,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Shetland","S08000026","Health board",2020,"2020/21 financial year",3872,16.93,16.45,17.42,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Tayside","S08000030","Health board",2020,"2020/21 financial year",82428,19.79,19.67,19.91,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Western Isles","S08000028","Health board",2020,"2020/21 financial year",4730,17.85,17.39,18.31,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","Scotland","S00000001","Scotland",2021,"2021/22 financial year",1103871,20.14,20.11,20.18,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Ayrshire & Arran","S08000015","Health board",2021,"2021/22 financial year",83388,22.62,22.48,22.75,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Borders","S08000016","Health board",2021,"2021/22 financial year",23891,20.59,20.36,20.83,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Dumfries & Galloway","S08000017","Health board",2021,"2021/22 financial year",31409,21.11,20.9,21.32,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Fife","S08000029","Health board",2021,"2021/22 financial year",79882,21.32,21.19,21.45,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Forth Valley","S08000019","Health board",2021,"2021/22 financial year",61860,20.23,20.09,20.38,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Grampian","S08000020","Health board",2021,"2021/22 financial year",102886,17.54,17.44,17.64,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Greater Glasgow & Clyde","S08000031","Health board",2021,"2021/22 financial year",251524,21.22,21.15,21.3,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Highland","S08000022","Health board",2021,"2021/22 financial year",60264,18.58,18.45,18.72,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Lanarkshire","S08000032","Health board",2021,"2021/22 financial year",147046,22.14,22.04,22.24,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Lothian","S08000024","Health board",2021,"2021/22 financial year",162261,17.71,17.63,17.79,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Orkney","S08000025","Health board",2021,"2021/22 financial year",4189,18.58,18.08,19.1,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Shetland","S08000026","Health board",2021,"2021/22 financial year",4018,17.52,17.03,18.01,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Tayside","S08000030","Health board",2021,"2021/22 financial year",86314,20.67,20.54,20.79,"Percentage","Public Health Scotland (Prescribing Information System)"
"Population prescribed drugs for anxiety/depression/psychosis","NHS Western Isles","S08000028","Health board",2021,"2021/22 financial year",4939,18.54,18.08,19.01,"Percentage","Public Health Scotland (Prescribing Information System)"
